seed,entity,name,value,timestamp
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,29,1718281434.686
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,30,1718281434.539
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,28,1718281434.391
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,29,1718281434.246
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,30,1718281434.102
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,29,1718281433.954
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,29,1718281433.807
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,30,1718281433.662
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,29,1718281433.523
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,34,1718281436.820
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,29,1718281436.629
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,29,1718281436.482
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,29,1718281436.335
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,29,1718281436.189
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,29,1718281436.42
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,29,1718281435.895
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,29,1718281435.749
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,28,1718281435.604
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,29,1718281435.459
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,28,1718281435.315
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,29,1718281435.170
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,29,1718281435.22
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,29,1718281434.874
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,29,1718281434.729
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,30,1718281434.584
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,30,1718281434.435
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,30,1718281434.290
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,28,1718281434.145
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,30,1718281433.999
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,29,1718281433.851
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,29,1718281433.704
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,29,1718281433.566
42,f,819aabc6-09c3-4b00-8ebb-f2b92ae26064,31,1718281433.418
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,29,1718281436.891
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,34,1718281436.720
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,29,1718281436.551
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,29,1718281436.402
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,29,1718281436.257
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,30,1718281436.111
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,29,1718281435.963
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,29,1718281435.817
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,30,1718281435.672
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,29,1718281435.527
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,27,1718281435.381
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,29,1718281435.238
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,29,1718281435.92
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,30,1718281434.942
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,29,1718281434.797
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,30,1718281434.652
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,29,1718281434.504
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,30,1718281434.359
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,29,1718281434.212
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,29,1718281434.67
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,30,1718281433.920
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,29,1718281433.773
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,25,1718281433.628
42,f,ae01072d-d90c-4404-85ac-09cc214e0ec4,31,1718281433.488
42,w,wf0,149,1718281436.930
42,w,wf0,180,1718281436.775
42,w,wf0,142,1718281436.590
42,w,wf0,142,1718281436.442
42,w,wf0,141,1718281436.295
42,w,wf0,142,1718281436.149
42,w,wf0,141,1718281436.2
42,w,wf0,140,1718281435.855
42,w,wf0,139,1718281435.710
42,w,wf0,140,1718281435.565
42,w,wf0,138,1718281435.420
42,w,wf0,140,1718281435.276
42,w,wf0,143,1718281435.130
42,w,wf0,142,1718281434.982
42,w,wf0,139,1718281434.834
42,w,wf0,141,1718281434.690
42,w,wf0,142,1718281434.543
42,w,wf0,140,1718281434.395
42,w,wf0,139,1718281434.250
42,w,wf0,142,1718281434.106
42,w,wf0,142,1718281433.959
42,w,wf0,141,1718281433.811
42,w,wf0,134,1718281433.666
42,w,wf0,145,1718281433.527
